"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"(Intercept)","0.022","0.006"," 0.081","0.005"," 0.103"
"I(total_engagement_combined >= 6)TRUE","6.600","2.018","21.586","1.608","27.087"
"c_age","0.959","0.928"," 0.992","0.922"," 0.998"
"c_is_male","0.776","0.311"," 1.935","0.261"," 2.306"
"c_is_latino","2.787","0.930"," 8.353","0.754","10.308"
"c_is_not_latino_and_black","1.995","0.618"," 6.442","0.493"," 8.065"
"c_is_not_latino_and_other","2.204","0.488"," 9.962","0.365","13.299"
"c_baseline_tobacco_history","0.902","0.821"," 0.990","0.807"," 1.008"
"c_has_partner","0.487","0.236"," 1.006","0.206"," 1.155"
"c_income_val","1.160","1.020"," 1.319","0.996"," 1.351"
