"","Estimate","95% LCL","95% UCL","StdErr","Wald","df1","df2","p-value"
"(Intercept)","  0.089","  0.040","  0.137","  0.024"," 13.321","  1.000"," 75.000","  0.000"
"(Intercept)","  0.573","  0.315","  0.830","  0.129"," 19.632","  1.000"," 75.000","  0.000"
"age","  0.001"," -0.003","  0.004","  0.002","  0.109","  1.000"," 75.000","  0.742"
"is_male"," -0.074"," -0.192","  0.043","  0.059","  1.600","  1.000"," 75.000","  0.210"
"is_latino","  0.112"," -0.010","  0.235","  0.061","  3.325","  1.000"," 75.000","  0.072"
"is_not_latino_and_black","  0.076"," -0.041","  0.193","  0.059","  1.687","  1.000"," 75.000","  0.198"
"is_not_latino_and_other","  0.081"," -0.074","  0.237","  0.078","  1.090","  1.000"," 75.000","  0.300"
"baseline_tobacco_history","  0.000"," -0.006","  0.007","  0.003","  0.008","  1.000"," 75.000","  0.928"
"has_partner","  0.006"," -0.089","  0.101","  0.048","  0.016","  1.000"," 75.000","  0.898"
"income_val"," -0.005"," -0.019","  0.010","  0.007","  0.410","  1.000"," 75.000","  0.524"
"hour_coinflip_local","  0.000"," -0.005","  0.006","  0.003","  0.030","  1.000"," 75.000","  0.863"
"days_between_v1_and_coinflip_local","  0.003"," -0.005","  0.011","  0.004","  0.469","  1.000"," 75.000","  0.496"
"any_response_2qs","  0.026"," -0.037","  0.089","  0.032","  0.668","  1.000"," 75.000","  0.416"
"any_recent_eligible_dp"," -0.328"," -0.490"," -0.166","  0.081"," 16.249","  1.000"," 75.000","  0.000"
"engagement_most_recent_eligible","  0.449","  0.361","  0.537","  0.044","102.649","  1.000"," 75.000","  0.000"
