"","predictor","est_beta0","conf_int_lb_beta0","conf_int_ub_beta0","est_beta1","conf_int_lb_beta1","conf_int_ub_beta1","est_beta2","conf_int_lb_beta2","conf_int_ub_beta2","screened_out"
"1","hour_coinflip_local",4.368,-1.01,9.747,-0.585,-1.395,0.225,0.02,-0.008,0.048,1
"2","days_between_v1_and_coinflip_local",2.047,0.422,3.671,-0.74,-1.388,-0.091,0.071,0.01,0.132,0
"3","age",-1.186,-8.594,6.222,0.065,-0.271,0.401,-0.001,-0.004,0.003,1
"4","income_val",1.734,-0.024,3.493,-0.554,-1.218,0.11,0.044,-0.01,0.098,1
"5","food_security_mean",2.11,-3.05,7.27,-2.301,-9.203,4.602,0.753,-1.208,2.714,1
"6","SSSladders",1.243,-3.615,6.101,-0.322,-1.975,1.332,0.033,-0.101,0.166,1
"7","pp1_1",3.853,-2.444,10.149,-2.491,-6.476,1.495,0.43,-0.165,1.024,1
"8","FinancialStrain",6.275,0.474,12.076,-6.52,-12.799,-0.242,1.704,0.087,3.321,0
"9","nd_mean",-0.125,-4.519,4.269,-0.069,-4.147,4.01,0.232,-0.635,1.1,1
"10","srq_mean",2.709,-8.192,13.61,-1.467,-7.591,4.658,0.228,-0.61,1.067,1
"11","sni_count",-1.304,-3.141,0.533,1.009,0.139,1.88,-0.11,-0.198,-0.021,0
"12","sni_people",1.052,-1.035,3.14,-0.046,-0.322,0.23,0,-0.008,0.008,1
"13","sni_active",1.086,-0.014,2.186,-1.06,-2.581,0.461,0.295,-0.179,0.77,1
"14","isel_belonging",3.611,-2.207,9.429,-1.387,-5.609,2.835,0.113,-0.629,0.854,1
"15","isel_appraisal",11.576,1.357,21.794,-6.504,-13.261,0.253,0.91,-0.178,1.997,1
"16","isel_tangible",7.492,0.415,14.568,-4.253,-9.121,0.616,0.619,-0.207,1.444,1
